Time (s),Channel 1 (V),Channel 2 (V)
-0.00512,0.5141434369619917,-0.04915051850168026
-0.00511875,0.500273183984736,-0.05152656693989688
-0.0051175,0.486741229860578,-0.0532237443957662
-0.00511625,0.4732092757364323,-0.0539026153781135
-0.005115,0.4603539193184881,-0.05593922832515631
-0.00511375,0.44716026404744,-0.05763640578102533
-0.0051125,0.4343049076294957,-0.05933358323689435
-0.00511125,0.4228027466239719,-0.06103076069276259
-0.00511,0.4102856890591262,-0.06306737363980619
-0.00510875,0.3977686314942803,-0.06340680913098108
-0.0051075,0.3859281716356529,-0.06578285756919662
-0.00510625,0.3754409071894304,-0.06680116404271803
-0.005105,0.3649536427432175,-0.06680116404271803
-0.00510375,0.3544663782969998,-0.06815890600741324
-0.0051025,0.3433025161445745,-0.06951664797210845
-0.00510125,0.3328152516983568,-0.07019551895445607
-0.0051,0.3226662861052475,-0.07325043837501891
-0.00509875,0.3131939182183366,-0.07358987386619409
-0.0050975,0.3030449526252186,-0.07392930935736836
-0.00509625,0.2939108835914202,-0.07494761583088931
-0.005095,0.2844385157045095,-0.07596592230441088
-0.00509375,0.2746278489645038,-0.07630535779558452
-0.0050925,0.2671852741962203,-0.07698422877793212
-0.00509125,0.2590661017217329,-0.07800253525145308
-0.00509,0.2506086303941343,-0.07834197074262735
-0.00508875,0.2418128602134396,-0.07834197074262735
-0.0050875,0.2347085842982559,-0.07969971270732255
-0.00508625,0.226927710676865,-0.08003914819849652
-0.005085,0.2191468370554812,-0.08037858368967016
-0.00508375,0.2110276645809901,-0.07969971270732255
-0.0050825,0.2049382852251218,-0.08071801918084397
-0.00508125,0.1974957104568383,-0.08037858368967016
-0.00508,0.1914063311009727,-0.08105745467201746
-0.00507875,0.1839637563326864,-0.08173632565436538
-0.0050775,0.1771977792706136,-0.08139689016319172
-0.00507625,0.1711083999147421,-0.08037858368967016
-0.005075,0.1650190205588706,-0.08037858368967031
-0.00507375,0.1579147446436941,-0.08071801918084397
-0.0050725,0.1528402618471371,-0.08105745467201776
-0.00507125,0.146412583638165,-0.08003914819849636
-0.00507,0.1406615031354005,-0.08105745467201776
-0.00506875,0.1362636180450531,-0.07969971270732316
-0.0050675,0.1311891352484942,-0.07936027721614874
